Id Marker Origin End
0 0 1 0
1 0 5 0
2 0 5 1
3 0 5 6
4 0 1 6
5 0 5 10
6 0 10 6
7 0 0 7
8 0 7 5
9 0 7 11
10 0 5 11
11 0 14 3
12 0 15 4
13 0 16 8
14 0 17 9
15 0 8 14
16 0 9 15
17 0 4 16
18 0 2 17
19 0 2 12
20 0 12 19
21 0 19 2
22 0 19 17
23 0 4 18
24 0 18 22
25 0 22 4
26 0 22 16
27 0 10 12
28 0 12 6
29 0 10 9
30 0 9 19
31 0 10 19
32 0 11 18
33 0 18 5
34 0 11 8
35 0 8 22
36 0 22 11
37 0 4 20
38 0 20 18
39 0 15 20
40 0 14 21
41 0 21 3
42 0 21 13
43 0 13 3
44 0 18 10
45 0 10 20
46 0 20 9
47 0 11 21
48 0 21 8
49 0 7 13
50 0 13 11
