Id Marker Origin End
977 0 264 133
979 0 45 264
981 0 265 133
982 0 79 265
983 0 45 265
984 0 265 144
985 0 266 133
986 0 32 266
987 0 79 266
990 0 77 267
992 0 268 134
993 0 77 268
994 0 45 268
995 0 268 143
998 0 44 269
1002 0 44 270
1003 0 270 141
1004 0 271 136
1005 0 77 271
1006 0 44 271
1007 0 271 142
1009 0 1 272
1011 0 273 137
1012 0 1 273
1013 0 73 273
1015 0 73 274
1018 0 275 138
1019 0 31 275
1020 0 73 275
1022 0 31 276
1026 0 76 277
1029 0 278 139
1030 0 31 278
1031 0 76 278
1033 0 24 279
1035 0 279 141
1036 0 280 140
1037 0 24 280
1038 0 76 280
1039 0 281 141
1040 0 24 281
1041 0 78 281
1042 0 282 141
1043 0 78 282
1044 0 44 282
1045 0 282 142
1046 0 283 142
1047 0 33 283
1048 0 77 283
1049 0 283 143
1050 0 284 142
1051 0 33 284
1052 0 78 284
1053 0 285 143
1054 0 80 285
1055 0 45 285
1056 0 285 144
1057 0 286 143
1058 0 33 286
1059 0 80 286
1060 0 287 144
1061 0 0 287
1062 0 79 287
1063 0 288 144
1064 0 0 288
1065 0 80 288
1066 0 289 145
1067 0 19 289
1068 0 81 289
1069 0 289 147
1070 0 290 145
1071 0 81 290
1072 0 17 290
1073 0 290 146
1074 0 291 145
1075 0 19 291
1076 0 83 291
1077 0 291 155
1078 0 292 145
1079 0 83 292
1080 0 17 292
1081 0 292 153
1082 0 293 146
1083 0 2 293
1084 0 81 293
1085 0 293 148
1086 0 294 147
1087 0 81 294
1088 0 23 294
1089 0 294 148
1090 0 295 147
1091 0 89 295
1092 0 23 295
1093 0 295 170
1094 0 296 147
1095 0 19 296
1096 0 89 296
1097 0 296 172
1098 0 297 149
1099 0 22 297
1100 0 82 297
1101 0 297 151
1102 0 298 149
1103 0 82 298
1104 0 16 298
1105 0 298 150
1106 0 299 149
1107 0 22 299
1108 0 84 299
1109 0 299 158
1110 0 300 149
1111 0 84 300
1112 0 16 300
1113 0 300 156
1114 0 301 150
1115 0 4 301
1116 0 82 301
1117 0 301 152
1118 0 302 151
1119 0 82 302
1120 0 46 302
1121 0 302 152
1122 0 303 151
1123 0 90 303
1124 0 46 303
1125 0 303 173
1126 0 304 151
1127 0 22 304
1128 0 90 304
1129 0 304 175
1130 0 305 152
1131 0 4 305
1132 0 85 305
1133 0 305 159
1134 0 306 152
1135 0 85 306
1136 0 46 306
1137 0 306 161
1138 0 307 153
1139 0 9 307
1140 0 83 307
1141 0 307 154
1142 0 308 154
1143 0 83 308
1144 0 47 308
1145 0 308 155
1146 0 309 154
1147 0 9 309
1148 0 87 309
1149 0 309 166
1150 0 310 154
1151 0 87 310
1152 0 47 310
1153 0 310 167
1154 0 311 155
1155 0 92 311
1156 0 47 311
1157 0 311 178
1158 0 312 155
1159 0 19 312
1160 0 92 312
1161 0 312 172
1162 0 313 156
1163 0 8 313
1164 0 84 313
1165 0 313 157
1166 0 314 157
1167 0 84 314
1168 0 48 314
1169 0 314 158
1170 0 315 157
1171 0 8 315
1172 0 88 315
1173 0 315 168
1174 0 316 157
1175 0 88 316
1176 0 48 316
1177 0 316 169
1178 0 317 158
1179 0 94 317
1180 0 48 317
1181 0 317 181
1182 0 318 158
1183 0 22 318
1184 0 94 318
1185 0 318 175
1186 0 319 159
1187 0 85 319
1188 0 15 319
1189 0 319 160
1190 0 320 160
1191 0 20 320
1192 0 85 320
1193 0 320 161
1194 0 321 160
1195 0 87 321
1196 0 15 321
1197 0 321 166
1198 0 322 160
1199 0 20 322
1200 0 87 322
1201 0 322 167
1202 0 323 161
1203 0 91 323
1204 0 46 323
1205 0 323 173
1206 0 324 161
1207 0 20 324
1208 0 91 324
1209 0 324 176
1210 0 325 162
1211 0 86 325
1212 0 14 325
1213 0 325 163
1214 0 326 162
1215 0 21 326
1216 0 86 326
